Catch Date,Gear Code,Stat Area Name,Stat Area,Count
2024-06-03 00:00:00,04,Big River,24555,366
2024-06-03 00:00:00,04,West Side,24610,1003
2024-06-05 00:00:00,04,Big River,24555,190
2024-06-05 00:00:00,04,West Side,24610,806
2024-06-07 00:00:00,04,Big River,24555,207
2024-06-07 00:00:00,04,West Side,24610,448
2024-06-10 00:00:00,04,Big River,24555,208
2024-06-10 00:00:00,04,West Side,24610,30
2024-06-12 00:00:00,04,Big River,24555,226
2024-06-12 00:00:00,04,West Side,24610,387
2024-06-14 00:00:00,04,Big River,24555,367
2024-06-14 00:00:00,04,West Side,24610,847
2024-06-17 00:00:00,04,Tuxedni Bay,24530,737
2024-06-17 00:00:00,04,West Side,24610,228
2024-06-19 00:00:00,04,Big River,24555,126
2024-06-19 00:00:00,04,West Side,24610,312
2024-06-20 00:00:00,03,Expanded Corridor & Anchor Point,24457,46
2024-06-20 00:00:00,03,Southern Expanded Corridor,24462,58
2024-06-20 00:00:00,03,UCI EEZ,24464,459
2024-06-20 00:00:00,03,,24470,137
2024-06-20 00:00:00,03,,24570,241
2024-06-20 00:00:00,04,Little Jack Slough,24550,75
2024-06-20 00:00:00,04,Tuxedni Bay,24530,780
2024-06-20 00:00:00,13,Cohn,24422,14
2024-06-20 00:00:00,13,Ninilchik,24421,8
2024-06-20 00:00:00,13,North Blanchard,24432,10
2024-06-20 00:00:00,13,South Blanchard,24431,6
2024-06-21 00:00:00,04,Big River,24555,108
2024-06-21 00:00:00,04,West Side,24610,650
2024-06-22 00:00:00,03,Expanded Corridor & Anchor Point,24457,7
2024-06-22 00:00:00,03,Southern Expanded Corridor,24462,29
2024-06-22 00:00:00,13,Ninilchik,24421,9
2024-06-24 00:00:00,03,Southern Expanded Corridor,24462,39
2024-06-24 00:00:00,03,UCI EEZ,24464,1612
2024-06-24 00:00:00,03,,24450,59
2024-06-24 00:00:00,03,,24470,107
2024-06-24 00:00:00,03,,24570,30
2024-06-24 00:00:00,04,Little Jack Slough,24550,37
2024-06-24 00:00:00,04,Tuxedni Bay,24530,761
2024-06-24 00:00:00,04,West Side,24610,323
2024-06-24 00:00:00,13,Cohn,24422,19
2024-06-24 00:00:00,13,Ninilchik,24421,11
2024-06-25 00:00:00,03,UCI EEZ,24464,83
2024-06-27 00:00:00,03,Expanded Corridor & Anchor Point,24457,535
2024-06-27 00:00:00,03,UCI EEZ,24464,5025
2024-06-27 00:00:00,03,,24450,25
2024-06-27 00:00:00,03,,24470,608
2024-06-27 00:00:00,04,East Side,24620,164
2024-06-27 00:00:00,04,Tuxedni Bay,24530,1627
2024-06-27 00:00:00,04,West Side,24610,284
2024-06-27 00:00:00,13,Cohn,24422,19
2024-06-27 00:00:00,13,Ninilchik,24421,10
2024-06-28 00:00:00,03,Expanded Corridor & Anchor Point,24457,87
2024-06-28 00:00:00,03,UCI EEZ,24464,703
2024-06-29 00:00:00,03,Southern Expanded Corridor,24462,795
2024-06-29 00:00:00,13,Cohn,24422,40
2024-06-29 00:00:00,13,Ninilchik,24421,19
2024-06-29 00:00:00,13,North Blanchard,24432,53
2024-06-29 00:00:00,13,South Blanchard,24431,53
2024-07-01 00:00:00,03,Expanded Corridor & Anchor Point,24457,763
2024-07-01 00:00:00,03,UCI EEZ,24464,11978
2024-07-01 00:00:00,03,,24450,6
2024-07-01 00:00:00,03,,24470,349
2024-07-01 00:00:00,04,East Side,24620,412
2024-07-01 00:00:00,04,Tuxedni Bay,24530,2983
2024-07-01 00:00:00,04,West Side,24610,2144
2024-07-02 00:00:00,03,Southern Expanded Corridor,24462,3449
2024-07-02 00:00:00,03,UCI EEZ,24464,2541
2024-07-02 00:00:00,13,Cohn,24422,23
2024-07-02 00:00:00,13,Ninilchik,24421,14
2024-07-02 00:00:00,13,North Blanchard,24432,68
2024-07-02 00:00:00,13,South Blanchard,24431,45
2024-07-02 00:00:00,99,North Blanchard,24432,93
2024-07-03 00:00:00,03,Expanded Corridor & Anchor Point,24457,213
2024-07-03 00:00:00,03,Southern Expanded Corridor,24462,2353
2024-07-04 00:00:00,03,Expanded Corridor & Anchor Point,24457,2017
2024-07-04 00:00:00,03,Southern Expanded Corridor,24462,275
2024-07-04 00:00:00,03,UCI EEZ,24464,25065
2024-07-04 00:00:00,03,,24450,18
2024-07-04 00:00:00,03,,24570,62
2024-07-04 00:00:00,04,#3 Bay,24790,196
2024-07-04 00:00:00,04,Birch Hill,24780,7
2024-07-04 00:00:00,04,Pt. Possession,24770,132
2024-07-04 00:00:00,04,Tyonek,24720,61
2024-07-04 00:00:00,04,West Side,24610,352
2024-07-04 00:00:00,99,North Blanchard,24432,9
2024-07-05 00:00:00,03,UCI EEZ,24464,10673
2024-07-05 00:00:00,03,,24450,9
2024-07-05 00:00:00,04,Birch Hill,24780,53
2024-07-05 00:00:00,04,Pt. Possession,24770,165
2024-07-05 00:00:00,04,Tuxedni Bay,24530,2417
2024-07-06 00:00:00,03,Expanded Corridor & Anchor Point,24457,1654
2024-07-06 00:00:00,03,,24450,560
2024-07-06 00:00:00,03,,24470,1602
2024-07-06 00:00:00,04,Tuxedni Bay,24530,1300
2024-07-07 00:00:00,03,Expanded Corridor & Anchor Point,24457,1072
2024-07-07 00:00:00,03,,24450,205
2024-07-07 00:00:00,03,,24470,753
2024-07-08 00:00:00,03,Expanded Corridor & Anchor Point,24457,5533
2024-07-08 00:00:00,03,UCI EEZ,24464,38613
2024-07-08 00:00:00,03,,24450,1055
2024-07-08 00:00:00,03,,24470,1370
2024-07-08 00:00:00,04,#3 Bay,24790,920
2024-07-08 00:00:00,04,Beluga,24730,481
2024-07-08 00:00:00,04,Birch Hill,24780,209
2024-07-08 00:00:00,04,East Side,24620,255
2024-07-08 00:00:00,04,Fire Island,24743,347
2024-07-08 00:00:00,04,Little Jack Slough,24550,155
2024-07-08 00:00:00,04,Pt. Mackenzie,24742,63
2024-07-08 00:00:00,04,Pt. Possession,24770,186
2024-07-08 00:00:00,04,Tuxedni Bay,24530,1969
2024-07-08 00:00:00,04,Tyonek,24720,565
2024-07-08 00:00:00,04,West Foreland,24560,648
2024-07-08 00:00:00,04,West Side,24610,821
2024-07-09 00:00:00,03,Expanded Corridor,24456,9803
2024-07-09 00:00:00,03,Expanded Corridor & Anchor Point,24457,373
2024-07-09 00:00:00,03,UCI EEZ,24464,7544
2024-07-09 00:00:00,03,,24470,244
2024-07-09 00:00:00,04,Birch Hill,24780,383
2024-07-09 00:00:00,04,Pt. Possession,24770,1460
2024-07-09 00:00:00,04,Tuxedni Bay,24530,1603
2024-07-09 00:00:00,04,West Foreland,24560,112
2024-07-09 00:00:00,13,Cohn,24422,92
2024-07-09 00:00:00,13,Ninilchik,24421,74
2024-07-09 00:00:00,13,North Blanchard,24432,115
2024-07-09 00:00:00,13,North Colliers,24442,17
2024-07-09 00:00:00,13,Salamantof,24441,281
2024-07-09 00:00:00,99,North Blanchard,24432,828
2024-07-10 00:00:00,03,Expanded Corridor,24456,12345
2024-07-11 00:00:00,03,Expanded Corridor,24456,822
2024-07-11 00:00:00,03,Expanded Corridor & Anchor Point,24457,1967
2024-07-11 00:00:00,03,Southern Expanded Corridor,24462,12
2024-07-11 00:00:00,03,UCI EEZ,24464,48500
2024-07-11 00:00:00,03,,24470,2960
2024-07-11 00:00:00,04,#3 Bay,24790,631
2024-07-11 00:00:00,04,Beluga,24730,162
2024-07-11 00:00:00,04,Birch Hill,24780,54
2024-07-11 00:00:00,04,East Side,24620,465
